iter	Passed	Remaining
0	1	123
1	2	118
2	3	109
3	4	104
4	5	103
5	6	99
6	7	97
7	8	97
8	9	96
9	10	94
10	11	94
11	12	93
12	13	91
13	14	89
14	15	88
15	16	87
16	17	86
17	18	85
18	19	83
19	20	81
20	21	80
21	22	80
22	23	79
23	24	77
24	25	76
25	26	74
26	27	73
27	28	72
28	29	71
29	30	70
30	31	69
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	37	64
37	38	63
38	39	62
39	41	61
40	42	60
41	42	59
42	43	57
43	44	56
44	45	55
45	46	54
46	47	54
47	48	52
48	49	51
49	50	50
50	51	49
51	53	49
52	54	48
53	55	47
54	55	45
55	57	44
56	57	43
57	58	42
58	59	41
59	60	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	95	8
92	96	7
93	96	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
