iter	Passed	Remaining
0	154	154310
1	157	78405
2	160	53180
3	161	40293
4	163	32608
5	165	27442
6	166	23671
7	168	20839
8	169	18652
9	171	16942
10	172	15541
11	174	14352
12	176	13387
13	178	12568
14	180	11831
15	181	11173
16	184	10665
17	185	10131
18	187	9658
19	188	9239
20	189	8848
21	193	8593
22	194	8275
23	196	7982
24	198	7738
25	200	7500
26	201	7272
27	203	7062
28	205	6879
29	207	6705
30	209	6535
31	210	6378
32	213	6259
33	214	6104
34	216	5959
35	217	5812
36	218	5683
37	219	5563
38	221	5453
39	222	5338
40	223	5238
41	225	5135
42	226	5038
43	227	4949
44	229	4864
45	230	4783
46	231	4698
47	232	4618
48	234	4541
49	235	4471
50	236	4398
51	237	4329
52	238	4268
53	240	4207
54	241	4157
55	243	4111
56	245	4057
57	246	4005
58	248	3958
59	250	3927
60	251	3877
61	253	3828
62	254	3779
63	255	3733
64	256	3686
65	257	3651
66	258	3606
67	260	3564
68	261	3522
69	261	3480
70	262	3439
71	263	3400
72	265	3374
73	266	3340
74	268	3309
75	269	3278
76	270	3246
77	271	3214
78	273	3184
79	274	3155
80	275	3129
81	277	3101
82	277	3068
83	278	3040
84	280	3022
85	281	2996
86	283	2970
87	284	2944
88	285	2921
89	286	2898
90	288	2882
91	291	2873
92	292	2853
93	293	2833
94	295	2817
95	297	2797
96	298	2775
97	299	2753
98	300	2730
99	301	2710
100	302	2690
101	303	2673
102	304	2656
103	306	2637
104	307	2618
105	308	2599
106	309	2582
107	311	2576
108	312	2558
109	314	2541
110	315	2524
111	316	2509
112	317	2493
113	318	2478
114	320	2463
115	321	2447
116	325	2456
117	327	2445
118	328	2429
119	329	2416
120	330	2401
121	331	2384
122	332	2370
123	333	2357
124	335	2346
125	336	2333
126	337	2317
127	338	2303
128	339	2291
129	340	2277
130	341	2265
131	342	2254
132	344	2242
133	345	2231
134	346	2221
135	348	2211
136	349	2201
137	350	2189
138	351	2179
139	353	2170
140	354	2158
141	354	2144
142	356	2133
143	357	2125
144	358	2115
145	359	2105
146	360	2094
147	361	2083
148	363	2074
149	364	2064
150	366	2058
151	367	2048
152	368	2039
153	369	2030
154	370	2021
155	371	2011
156	373	2004
157	374	1996
158	375	1988
159	377	1980
160	377	1968
161	378	1960
162	380	1951
163	381	1945
164	382	1936
165	383	1928
166	384	1920
167	386	1912
168	387	1903
169	388	1897
170	389	1890
171	391	1883
172	392	1875
173	393	1867
174	394	1859
175	395	1851
176	398	1854
177	399	1846
178	401	1839
179	402	1832
180	403	1826
181	404	1819
182	405	1811
183	406	1803
184	407	1796
185	409	1790
186	410	1785
187	412	1780
188	413	1773
189	414	1766
190	415	1761
191	417	1755
192	418	1751
193	420	1744
194	421	1741
195	424	1739
196	425	1735
197	428	1734
198	429	1729
199	430	1723
200	431	1716
201	432	1709
202	434	1704
203	434	1697
204	436	1692
205	437	1686
206	438	1680
207	440	1675
208	444	1680
209	447	1682
210	455	1704
211	458	1704
212	459	1697
213	460	1691
214	461	1685
215	462	1680
216	463	1674
217	465	1669
218	467	1665
219	468	1659
220	469	1653
221	470	1647
222	471	1641
223	472	1636
224	473	1631
225	474	1626
226	476	1620
227	477	1615
228	478	1610
229	479	1604
230	480	1598
231	481	1594
232	482	1589
233	484	1584
234	485	1579
235	486	1573
236	487	1569
237	488	1564
238	489	1559
239	491	1555
240	492	1550
241	493	1546
242	494	1541
243	496	1536
244	497	1533
245	499	1530
246	500	1525
247	501	1519
248	502	1514
249	503	1509
250	504	1504
251	505	1500
252	506	1495
253	507	1490
254	508	1485
255	509	1481
256	510	1476
257	511	1471
258	513	1467
259	514	1463
260	515	1458
261	516	1454
262	517	1449
263	518	1444
264	519	1439
265	520	1435
266	521	1431
267	522	1426
268	523	1422
269	524	1417
270	525	1412
271	526	1408
272	527	1404
273	528	1400
274	529	1396
275	530	1392
276	531	1388
277	532	1383
278	533	1379
279	535	1375
280	537	1375
281	538	1371
282	539	1367
283	540	1363
284	542	1359
285	543	1356
286	544	1352
287	544	1352
288	547	1351
289	548	1348
290	550	1345
291	551	1341
292	552	1337
293	553	1334
294	555	1331
295	556	1327
296	557	1324
297	558	1321
298	560	1318
299	561	1314
300	563	1312
301	564	1308
302	565	1304
303	566	1301
304	567	1297
305	568	1293
306	571	1293
307	572	1290
308	573	1286
309	574	1283
310	575	1279
311	576	1275
312	579	1276
313	580	1273
314	581	1269
315	582	1265
316	584	1262
317	586	1262
318	587	1258
319	589	1255
320	590	1252
321	591	1249
322	603	1269
323	604	1265
324	605	1262
325	607	1258
326	608	1256
327	612	1257
328	613	1254
329	614	1251
330	615	1248
331	616	1244
332	627	1260
333	628	1257
334	630	1254
335	631	1250
336	632	1247
337	633	1244
338	636	1244
339	637	1240
340	638	1237
341	639	1233
342	640	1230
343	643	1230
344	644	1226
345	645	1223
346	646	1220
347	648	1217
348	650	1216
349	651	1212
350	652	1209
351	656	1212
352	657	1209
353	659	1206
354	660	1203
355	661	1199
356	662	1196
357	663	1193
358	664	1190
359	665	1187
360	667	1184
361	668	1181
362	669	1178
363	670	1175
364	671	1171
365	673	1169
366	674	1166
367	675	1163
368	676	1160
369	677	1157
370	678	1154
371	680	1151
372	681	1149
373	683	1146
374	684	1143
375	685	1140
376	686	1137
377	688	1135
378	689	1133
379	691	1130
380	692	1127
381	693	1124
382	694	1120
383	695	1118
384	696	1115
385	697	1112
386	698	1109
387	699	1106
388	701	1104
389	702	1101
390	704	1099
391	705	1096
392	706	1093
393	707	1090
394	708	1087
395	709	1084
396	710	1081
397	712	1080
398	713	1078
399	715	1075
400	716	1072
401	717	1070
402	718	1067
403	720	1065
404	721	1062
405	722	1059
406	723	1057
407	724	1054
408	727	1053
409	728	1051
410	730	1048
411	731	1046
412	732	1043
413	733	1040
414	734	1038
415	735	1035
416	737	1033
417	738	1030
418	739	1027
419	740	1025
420	742	1023
421	743	1021
422	745	1019
423	746	1016
424	747	1013
425	753	1017
426	755	1015
427	756	1013
428	758	1011
429	760	1009
430	762	1008
431	765	1008
432	767	1007
433	768	1004
434	769	1002
435	771	999
436	772	997
437	773	994
438	774	992
439	776	990
440	777	987
441	778	985
442	779	982
443	780	980
444	782	977
445	783	975
446	784	973
447	785	970
448	786	967
449	787	965
450	789	962
451	790	960
452	791	958
453	792	955
454	793	952
455	794	950
456	795	947
457	796	944
458	798	942
459	799	940
460	800	938
461	801	935
462	803	933
463	804	931
464	806	929
465	807	927
466	808	924
467	809	922
468	810	919
469	812	917
470	813	915
471	817	916
472	818	913
473	819	911
474	820	908
475	823	908
476	824	905
477	825	903
478	826	900
479	827	898
480	829	896
481	830	894
482	831	892
483	833	890
484	835	888
485	837	887
486	839	886
487	841	884
488	842	881
489	844	880
490	846	878
491	847	876
492	848	874
493	849	872
494	852	871
495	853	868
496	854	867
497	856	865
498	857	863
499	858	860
500	860	858
501	862	856
502	863	854
503	864	852
504	865	849
505	866	847
506	867	845
507	868	843
508	870	840
509	871	838
510	872	836
511	873	833
512	874	831
513	875	829
514	877	828
515	878	826
516	880	823
517	881	821
518	882	819
519	890	823
520	892	822
521	894	820
522	895	817
523	896	815
524	897	813
525	898	811
526	900	809
527	901	807
528	902	805
529	904	803
530	905	801
531	907	800
532	909	797
533	910	796
534	911	794
535	912	791
536	914	790
537	916	788
538	917	786
539	918	783
540	919	781
541	921	780
542	923	778
543	924	776
544	925	774
545	927	772
546	928	770
547	929	768
548	932	767
549	934	766
550	936	764
551	937	762
552	938	760
553	939	757
554	941	756
555	942	753
556	943	752
557	945	750
558	946	748
559	948	746
560	949	744
561	950	742
562	952	740
563	953	738
564	954	736
565	956	734
566	957	732
567	958	730
568	959	728
569	961	726
570	962	724
571	964	722
572	964	720
573	966	718
574	967	716
575	968	714
576	970	712
577	971	710
578	972	708
579	973	706
580	975	704
581	976	702
582	977	700
583	978	698
584	980	696
585	981	694
586	984	694
587	986	692
588	988	690
589	989	688
590	990	686
591	991	684
592	992	682
593	995	681
594	996	679
595	997	677
596	998	675
597	999	673
598	1001	671
599	1002	669
600	1004	667
601	1005	666
602	1007	664
603	1008	662
604	1010	660
605	1012	659
606	1013	657
607	1014	655
608	1015	653
609	1017	651
610	1018	649
611	1019	647
612	1021	645
613	1022	643
614	1023	641
615	1024	639
616	1029	639
617	1030	637
618	1031	636
619	1033	634
620	1038	634
621	1039	632
622	1040	630
623	1044	630
624	1045	628
625	1046	626
626	1048	624
627	1050	623
628	1051	621
629	1052	619
630	1054	617
631	1056	616
632	1058	614
633	1060	612
634	1061	610
635	1062	608
636	1063	606
637	1064	604
638	1065	603
639	1067	601
640	1068	599
641	1069	597
642	1070	595
643	1071	593
644	1073	591
645	1074	589
646	1075	587
647	1076	585
648	1078	583
649	1079	582
650	1080	580
651	1082	578
652	1083	576
653	1084	574
654	1086	573
655	1087	570
656	1088	569
657	1090	567
658	1091	565
659	1092	563
660	1094	562
661	1095	560
662	1096	558
663	1098	556
664	1099	554
665	1100	552
666	1101	550
667	1103	549
668	1104	547
669	1106	545
670	1107	543
671	1108	541
672	1111	541
673	1113	539
674	1114	537
675	1115	535
676	1116	533
677	1117	531
678	1119	530
679	1120	528
680	1121	526
681	1122	524
682	1123	522
683	1125	520
684	1126	518
685	1128	517
686	1129	515
687	1130	513
688	1131	511
689	1133	509
690	1134	507
691	1135	506
692	1136	504
693	1137	502
694	1139	500
695	1140	498
696	1141	496
697	1142	495
698	1144	493
699	1145	491
700	1146	489
